,DAQlpGBT,EvSize,Elinks,Layer,U,V,LUV,nModules,doubleDAQlpGBT,EvSize [kb],BitsPerElink
300,480,85.9635,4,16,7.5,6.5,4222.5,4,False,2.750832,687.708
301,481,85.9477,4,16,1,7.5,4119.5,4,False,2.7503264,687.5816
302,482,106.587,5,16,7,0,4208,5,False,3.410784,682.1568
303,483,106.8046,5,16,7,7,4215,5,False,3.4177472,683.54944
304,484,101.3941,5,16,8,6,4230,5,False,3.2446112,648.92224
305,485,101.3127,5,16,2,8,4136,5,False,3.2420064,648.40128
306,486,85.9594,4,16,7.5,1,4217,4,False,2.7507008,687.6752
307,487,85.7465,4,16,6.5,7.5,4207.5,4,False,2.743888,685.972
308,488,108.6173,5,16,8,5,4229,5,False,3.4757536,695.15072
309,489,108.5733,5,16,3,8,4152,5,False,3.4743456,694.86912
310,490,101.3874,5,16,8,2,4226,5,False,3.2443968,648.87936
311,491,101.2149,5,16,6,8,4200,5,False,3.2388768,647.77536
312,492,77.5245,4,16,8.5,4.5,4236.5,4,False,2.480784,620.196
313,493,77.4153,4,16,4,8.5,4168.5,4,False,2.4772896,619.3224
314,494,99.5409,6,16,9.33333333333333,3.66666666666667,4249,6,False,3.1853088,530.8848
315,495,99.4438,6,16,5.66666666666667,9.33333333333333,4196,6,False,3.1822016,530.366933333333
316,500,210.1307,7,17,2.5,1.5,4393.5,2,False,6.7241824,960.597485714286
317,501,118.958,6,17,4.5,3.5,4427.5,2,False,3.806656,634.442666666667
318,502,210.2038,7,17,1,2.5,4370.5,2,False,6.7265216,960.931657142857
319,503,119.0074,6,17,1,4.5,4372.5,2,False,3.8082368,634.706133333333
320,504,180.9158,7,17,3.5,1,4409,2,False,5.7893056,827.043657142857
321,505,50.0934,3,17,5,1,4433,1,False,1.6029888,534.3296
322,506,180.6876,7,17,2.5,3.5,4395.5,2,False,5.7820032,826.000457142857
323,507,50.0605,3,17,4,5,4421,1,False,1.601936,533.978666666667
324,508,182.0448,7,17,4.66666666666667,2.33333333333333,4429,3,False,5.8254336,832.2048
325,509,181.8423,7,17,2.33333333333333,4.66666666666667,4394,3,False,5.8189536,831.279085714286
