,Layer,U,V,Type,Shape,ADCHits,TOXHits,EvSize,EvSizeXCheck,Elinks
370,5,3,0,HD,F,156.923,23.3089,162.919,159,5
371,5,2,0,HD,g,193.42,58.5791,220.516,222,5
372,5,4,0,HD,F,83.6724,9.0335,99.7898,96,3
373,5,3,3,HD,F,156.956,23.2924,162.911,159,5
374,5,2,2,HD,g,193.478,58.612,220.594,222,5
375,5,4,4,HD,F,83.6176,9.0456,99.7649,96,3
376,5,3,2,HD,F,193.026,35.6585,199.765,196,6
377,5,2,1,HD,d,109.113,37.7236,131.109,132,3
378,5,4,3,HD,F,107.056,12.8303,119.261,123,4
379,5,1,3,HD,F,192.947,35.6747,199.725,196,6
380,5,1,2,HD,d,109.191,37.686,131.126,132,3
381,5,1,4,HD,F,106.907,12.7924,119.14,123,4
382,5,4,1,HD,F,107.188,12.8281,119.355,123,4
383,5,3,1,HD,F,193.171,35.7486,199.953,196,6
384,5,5,1,HD,F,59.041,6.01896,80.1225,80,2
385,5,3,4,HD,F,106.954,12.7965,119.14,123,4
386,5,2,3,HD,F,193.047,35.7258,199.843,196,6
387,5,4,5,HD,F,58.9057,6.00208,79.9917,80,2
388,5,5,3,HD,F,67.7924,6.86605,87.217,90,3
389,5,4,2,HD,F,116.944,14.4543,127.42,125,4
390,5,5,2,HD,F,68.0297,6.89615,87.3875,90,3
391,5,2,5,HD,F,67.8658,6.87244,87.2656,90,3
392,5,2,4,HD,F,116.998,14.5139,127.503,126,4
393,5,3,5,HD,F,67.8142,6.85179,87.2056,90,3
394,5,5,0,LD,F,40.0761,9.26527,54.998,54,2
395,5,6,0,LD,F,24.7826,5.16548,40.634,39,1
396,5,7,0,LD,F,15.0699,3.06728,32.2224,33,1
397,5,8,0,LD,L,6.86045,3.04963,26.9071,27,1
398,5,5,5,LD,F,39.8261,9.24549,54.8084,54,2
399,5,6,6,LD,F,24.8022,5.16917,40.6483,39,1
400,5,7,7,LD,F,15.0859,3.07455,32.2416,33,1
401,5,8,8,LD,L,6.92334,3.0718,26.9905,27,1
402,5,5,4,LD,F,47.1936,12.5556,62.9916,63,2
403,5,6,5,LD,F,31.6622,6.69984,46.7906,48,1
404,5,7,6,LD,F,19.3573,3.9719,36.0474,37,1
405,5,8,7,LD,F,9.58253,3.88358,28.3757,29,1
406,5,9,8,LD,b,5.42483,2.38242,20.7893,20,1
407,5,1,5,LD,F,47.2138,12.5939,63.0505,63,2
408,5,1,6,LD,F,31.596,6.70835,46.7455,48,1
409,5,1,7,LD,F,19.2762,3.90199,35.9183,37,1
410,5,1,8,LD,F,9.54212,3.91275,28.3658,29,1
411,5,1,9,LD,b,5.44745,2.38143,20.8114,20,1
412,5,6,1,LD,F,31.7374,6.76419,46.905,48,1
413,5,7,1,LD,F,19.4154,3.96699,36.0789,37,1
414,5,8,1,LD,F,9.53703,3.86148,28.3115,29,1
415,5,9,1,LD,F,5.47916,2.39266,22.8675,22,1
416,5,5,6,LD,F,31.7597,6.75793,46.9132,48,1
417,5,6,7,LD,F,19.3657,3.90818,35.9914,37,1
418,5,7,8,LD,F,9.54516,3.89959,28.3596,29,1
419,5,8,9,LD,F,5.44505,2.40484,22.8465,22,1
420,5,6,4,LD,F,36.1833,7.86263,51.021,53,2
421,5,7,5,LD,F,22.4552,4.57707,38.5848,38,1
422,5,8,6,LD,F,12.012,4.47895,31.1917,31,1
423,5,9,7,LD,L,6.58975,2.91483,26.502,27,1
424,5,2,6,LD,F,36.0703,7.81444,50.9028,53,2
425,5,2,7,LD,F,22.4175,4.54979,38.5256,38,1
426,5,2,8,LD,F,11.9955,4.49966,31.1939,31,1
427,5,2,9,LD,L,6.56861,2.90459,26.4701,27,1
428,5,6,2,LD,F,36.1263,7.80715,50.9369,53,2
429,5,7,2,LD,F,22.4187,4.59225,38.5743,38,1
430,5,8,2,LD,F,12.0199,4.50053,31.216,32,1
431,5,9,2,LD,L,6.49792,2.86976,26.3644,26,1
432,5,4,6,LD,F,36.0905,7.81009,50.9113,53,2
433,5,5,7,LD,F,22.3742,4.56538,38.5133,38,1
434,5,6,8,LD,F,12.0444,4.52042,31.2591,32,1
